Surname Unicode,Surname Ascii,Gender,Origin,Meaning(s),Tag(s)
Abbas,abbas,Male,Arabic,Austere|Sober,#Celebrity|#Surname
Abbott,abbott,Male,English,Head Of A Monastery,#Occupational|#Surname
Abelard,abelard,Male,French,Brave|Noble,#Surname
Abercrombie,abercrombie,Neutral,Scottish,Bend In Marshy Ground,#Surname
Abraham,abraham,Male,Hebrew,Father Of Nations,#Biblical|#Politician|#Surname
Abram,abram,Male,Hebrew,High Father,#Surname
Acciai,acciai,Male,Italian,Axe Man,#Surname
Acevedo,acevedo,Neutral,Spanish,Grove Of Holly Trees,#Surname
Acosta,acosta,Neutral,Spanish,From The Coast,#Surname
Acton,acton,Male,English,From The Oak Tree Settlement,#Surname
Adagio,adagio,Male,Italian,Slowly,#Surname
Adair,adair,Neutral,English,Fortune/Spear,#Surname
Adams,adams,Neutral,English,Family Of Adam,#Surname
Adkins,adkins,Neutral,English,Family Of Adam,#Surname
Adler,adler,Neutral,German,Eagle,#Surname
Affleck,affleck,Male,Scottish,From Auchinleck|Scotland,#Celebrity|#Surname
Aguilar,aguilar,Neutral,Spanish,Eagle,#Surname
Aguirre,aguirre,Neutral,Spanish,From A Prominent Place,#Surname
Ahmed,ahmed,Male,Arabic,Praiseworthy|Commendable,#Surname
Airlia,airlia,Female,Scottish,Eagle Wood,#Place|#Surname
Airlie,airlie,Neutral,Scottish,Eagle Wood,#Place|#Surname
Albrecht,albrecht,Male,German,Noble|Bright,#Surname
Alden,alden,Male,English,Half Danish,#Surname
Alexander,alexander,Male,Greek,Defender Of The People,#Biblical|#Politician|#Royal|#Surname
Ali,ali,Neutral,Arabic,Noble|Exalted,#Sports|#Surname
Allen,allen,Male,English,Little Rock,#Surname
Allison,allison,Neutral,German,Noble One,#Celebrity|#Surname
Almeda,almeda,Female,Spanish,Poplar Grove,#Surname
Alphonse,alphonse,Male,French,Noble And Ready,#FictionalCharacter|#Surname
Alvarado,alvarado,Female,Spanish,From The White/Bright Land,#Surname
Alvarez,alvarez,Male,Spanish,Son Of Alvaro,#Surname
Amabel,amabel,Female,English,Lovable,#Surname
Amabilis,amabilis,Neutral,Latin,Lovable,#Surname
Amato,amato,Male,Spanish,Loved,#Surname
Ambel,ambel,Neutral,Latin,Lovable,#Surname
Ambrosi,ambrosi,Neutral,Italian,Family Of Ambrogio,#Surname
Amery,amery,Female,English,Work Rule,#Surname
Anakin,anakin,Male,American,Warrior,#FictionalCharacter|#Surname
Anderson,anderson,Male,English,Son Of Andrew,#Celebrity|#Surname
Andolina,andolina,Female,Italian,Unknown,#Surname
Andrade,andrade,Neutral,Spanish,From San Martino De Andrade,#Surname
Aniston,aniston,Neutral,American,Unknown,#Celebrity|#Surname
Ansley,ansley,Neutral,English,From The Hermitage Field,#Surname
Anthony,anthony,Male,Latin,Unknown,#Surname
Antoinette,antoinette,Female,French,Diminutive Feminine Form Of Antoine,#Royal|#Surname
Antonia,antonia,Female,Latin,Unknown,#Biblical|#Surname
Aoki,aoki,Neutral,Japanese,Blue Tree,#Surname
Aramis,aramis,Neutral,French,From Aramits|France,#Literary|#Sports|#Surname
Archer,archer,Male,English,Bowman|One Who Excels At Archery,#FictionalCharacter|#Occupational|#Surname
Arellano,arellano,Neutral,Spanish,From The Farm Or Estate Of Aurelius,#Surname
Arias,arias,Neutral,Spanish,Farmer,#Surname
Arlen,arlen,Male,German,Person From Erlen|Germany,#Surname
Armani,armani,Neutral,Italian,Son Or Kin Of Armand,#Brand|#Surname
Armitage,armitage,Male,English,Hermitage,#FictionalCharacter|#Surname
Armstrong,armstrong,Neutral,English,Strong Person,#Surname
Arnold,arnold,Male,German,Eagle Power,#Surname
Arroyo,arroyo,Neutral,Spanish,Water Channel,#Surname|#Water
Ashford,ashford,Male,English,By The Ash-tree Ford,#Surname
Astor,astor,Neutral,English,Hawk,#Celebrity|#Surname
Atkins,atkins,Neutral,English,Family Of Adam,#Surname
Atkinson,atkinson,Neutral,English,Family Of Adam,#Surname
Atlee,atlee,Neutral,English,Lives Near The Woods,#Surname
Aucoin,aucoin,Neutral,French,At The Corner,#Surname
Auden,auden,Neutral,English,Half Danish,#Literary|#Surname
Austin,austin,Neutral,English,Great,#FictionalCharacter|#Place|#Surname
Avery,avery,Neutral,English,Elf King,#Surname
Avila,avila,Female,German - Ancient Germanic,Unknown,#Place|#Surname
Axel,axel,Male,Scandinavian,My Father Is Peace,#Celebrity|#Surname
Ayala,ayala,Female,Hebrew,Female Deer/Hillside Or Pasture,#Surname
Ayers,ayers,Neutral,English,Heir To Fortune Or Land,#Surname
Bailey,bailey,Neutral,English,Bailiff|Steward,#Occupational|#Surname
Baines,baines,Male,English,Thin Or Little Anvil,#Politician|#Surname
Baird,baird,Male,Scottish,Minstrel|Poet,#Musical|#Occupational|#Surname
Baker,baker,Neutral,English,Occupation Of Baker,#Occupational|#Surname
Baldwin,baldwin,Male,English,Bold/Brave Friend,#Celebrity|#Surname
Ballard,ballard,Male,English,Bald-Headed Man,#Surname
Banks,banks,Neutral,English,Edge Of The River,#Nature|#Surname|#Water
Barajas,barajas,Neutral,Spanish,Watering Place,#Surname|#Water
Barber,barber,Male,English,Hair Cutter For Men,#Occupational|#Surname
Barclay,barclay,Male,English,Birch Wood,#Surname
Barker,barker,Neutral,English,Shepherd/Leather Tanner,#Surname
Barkley,barkley,Male,American,Birch Clearing,#Place|#Surname
Barnard,barnard,Male,English,Brave Bear,#Surname
Barnes,barnes,Neutral,English,Lives Or Works Near A Barn,#Surname
Barnett,barnett,Neutral,English,Burned Place Near The Clearing,#Surname
Baron,baron,Male,English,Noble Man,#Surname
Barr,barr,Neutral,English,Barrier|Big Hill,#Surname
Barras,barras,Neutral,English,Tradesman,#Surname
Barrera,barrera,Neutral,Spanish,Lives Near Muddy Or Clay Area,#Surname
Barrett,barrett,Neutral,English,Trader,#Surname
Barrington,barrington,Male,English,From Barentin In France Or Barrington In England,#Surname
Barry,barry,Neutral,Irish,Fair Headed,#Celebrity|#Surname
Bartlett,bartlett,Neutral,English,Son Or Family Of Bartholomew,#Surname
Barton,barton,Male,English,From The Barley Town,#Surname
Bass,bass,Neutral,English,Big/Tall Or The Fish,#Surname
Bastian,bastian,Male,German,Venerable,#FictionalCharacter|#Surname
Bates,bates,Neutral,English,Son Of Bartholemew,#Surname
Battista,battista,Male,Italian,Baptist Or Baptized,#Surname
Bauer,bauer,Male,English,Worker,#Surname
Bautista,bautista,Neutral,Spanish,Baptist Or Baptized,#Surname
Baxter,baxter,Male,English,Baker,#Occupational|#Surname
Bayard,bayard,Male,French,With Red-Brown Hair Or Foolhardy,#Surname
Beale,beale,Male,English,Handsome,#Surname
Bean,bean,Neutral,English,Bean Farmer,#Surname
Beard,beard,Neutral,English,Facial Hair On Chin,#Surname
Beasley,beasley,Neutral,English,Bent Grass Clearing,#Surname
Beauchamp,beauchamp,Male,English,Beautiful Field,#Surname
Beauregard,beauregard,Male,English,Beautiful View,#Literary|#Surname
Beck,beck,Male,English,From The Brook/Stream,#Surname
Becker,becker,Neutral,English,Baker/Lives By A Stream,#Occupational|#Surname
Beckett,beckett,Neutral,English,Dweller By The Brook,#Surname|#Water
Beckham,beckham,Male,English,From The Beck Homestead,#Celebrity|#Sports|#Surname
Beecher,beecher,Neutral,English,Dweller By The Beech Tree,#Surname
Beil,beil,Neutral,German,Ax Maker Or Lumberjack,#Surname
Belden,belden,Male,English,From Beldon Hill,#Surname
Bell,bell,Neutral,English,Beautiful,#Surname
Bellini,bellini,Female,Italian,Little Beautiful One,#Surname
Bello,bello,Male,Italian,Beautiful|Handsome,#Surname
Beltran,beltran,Neutral,Spanish,Bright Raven,#Surname
Benitez,benitez,Neutral,Spanish,Son Of Benito,#Surname
Benjamin,benjamin,Male,Hebrew,Son Of My Right Hand,#Biblical|#FictionalCharacter|#Politician|#Surname
Bennett,bennett,Neutral,Latin,Little Blessed One,#Surname
Benning,benning,Neutral,English,Blessed,#Surname
Benniton,benniton,Male,American,Little Blessed One,#Surname
Benson,benson,Male,English,Son Of Benedict/Benjamin,#Surname
Bentley,bentley,Neutral,English,From The Bent-Grass Field,#Brand|#Surname
Benton,benton,Male,English,From Benjamin's Town,#Surname
Berg,berg,Male,German,Mountain,#Surname
Berger,berger,Male,German,Mountain Dweller,#Surname
Berlioz,berlioz,Neutral,French,Unknown,#Surname
Bernal,bernal,Neutral,Spanish,Son Of Baruch,#Surname
Berry,berry,Neutral,English,Small Fruit,#Nature|#Surname
Beyoncé,beyonce,Female,American,From The Surname Beyince,#Celebrity|#Surname
Biden,biden,Neutral,English,From The Shadow Valley|Button Maker,#Politician|#Surname
Bieniemy,bieniemy,Neutral,French,Good Friend,#Surname
Binder,binder,Neutral,English,Book Binder,#Surname
Bingley,bingley,Neutral,English,From Bingley In Yorkshire|England,#FictionalCharacter|#Surname
Bird,bird,Neutral,English,Avian Animal With Feathers And Wings,#Nature|#Surname
Bishop,bishop,Male,English,Overseer|Guardian,#Occupational|#Surname
Black,black,Male,English,Black,#Surname
Blackwell,blackwell,Neutral,English,Black/Dark Stream,#Surname
Blair,blair,Neutral,Scottish,Battlefield Or Plain,#Surname
Blake,blake,Neutral,English,Pale Blond One Or Dark,#Surname
Blakely,blakely,Neutral,English,Pale Blond One Or Dark,#Surname
Bly,bly,Female,English,Gentle|Happy,#Surname
Bode,bode,Male,German,Messenger,#Sports|#Surname
Bodie,bodie,Neutral,German,Messenger,#Surname
Bogart,bogart,Neutral,English,Orchard Worker,#Surname
Bonaventure,bonaventure,Male,English,Good Luck,#Surname
Bond,bond,Male,English,Husbandman|Farmer,#FictionalCharacter|#Surname
Bonilla,bonilla,Neutral,Spanish,Good Child,#Surname
Bonner,bonner,Male,English,Gentle|Courteous,#Surname
Bonneville,bonneville,Neutral,French,Good Village,#Surname
Booker,booker,Male,English,Bleacher Or Book Binder,#Surname
Boone,boone,Male,English,Good Person Or Person From Bohon|France,#Surname
Booth,booth,Male,English,Small Hut Or Cottage,#Surname
Bosco,bosco,Neutral,Italian,Forest,#Surname
Bosley,bosley,Male,English,From Bosa's Field,#FictionalCharacter|#Surname
Botham,botham,Neutral,English,Valley|Hollow,#Surname
Bouvier,bouvier,Neutral,French,Cowshed Worker,#FictionalCharacter|#Surname
Bowen,bowen,Male,Welsh,Son Of Owain/Owen,#Surname
Bowers,bowers,Neutral,English,Worker,#Surname
Bowie,bowie,Male,Irish,Yellow Haired,#Celebrity|#Surname
Bowman,bowman,Neutral,German,Archer,#Occupational|#Surname
Boyce,boyce,Male,English,From The Woods,#Surname
Boyd,boyd,Male,Irish,Fair-haired|Blonde,#Surname
Boyer,boyer,Neutral,English,Bow Maker,#Surname
Boyle,boyle,Male,Irish,Angry|Rash,#Surname
Boys,boys,Male,English,From The Wood,#Surname
Braddock,braddock,Neutral,English,Dweller By The Broad Oak,#Surname
Bradford,bradford,Male,English,From The Broad Ford,#Surname
Bradley,bradley,Male,English,From The Broad Meadow,#Surname
Bradshaw,bradshaw,Male,English,From The Broad Field|Forest,#Surname
Brady,brady,Neutral,Irish,Descendant Of Bradach,#FictionalCharacter|#Politician|#Surname
Brando,brando,Male,Italian,Sword,#Celebrity|#Surname
Braun,braun,Male,German,Brown,#Surname
Bravo,bravo,Male,Latin,Brave|Approval,#Surname
Brayden,brayden,Neutral,American,Son Of Bradan,#Surname
Brea,brea,Female,English,Hill,#Nature|#Surname
Brennan,brennan,Male,Irish,Tear|Sorrow,#Surname
Brenner,brenner,Neutral,German,Charcoal Burner,#Occupational|#Surname
Brently,brently,Male,English,Unknown,#Surname
Brenton,brenton,Male,English,From Bryni's Town (Town Of Fire),#Fire|#Surname
Brett,brett,Neutral,English,Breton,#Surname
Brewer,brewer,Neutral,English,Ale Or Beer Maker,#Surname
Brewster,brewster,Male,English,Brewer,#Surname
Bricker,bricker,Male,English,Brick Maker,#Surname
Bridges,bridges,Neutral,English,Bridge Builder,#Surname
Briggs,briggs,Neutral,English,Dweller By The Bridge,#Surname
Brigham,brigham,Male,English,City/Settlement With Or By The Bridge,#Place|#Surname
Brighton,brighton,Male,English,Beautiful Town,#Place|#Surname
Brinkley,brinkley,Neutral,English,From Brinca's Field,#Celebrity|#Surname
Brock,brock,Male,English,Badger,#Surname
Broderick,broderick,Male,Welsh,Son Of Rhydderch,#Surname
Bronson,bronson,Male,English,From Branson,#Surname
Brönte,bronte,Female,Greek,Thunder,#Literary|#Surname
Brooks,brooks,Neutral,English,From The Brook,#Nature|#Sports|#Surname
Brown,brown,Male,English,Brown,#Color|#Surname
Browning,browning,Male,American,Tanner Or Brunette,#Surname
Bruce,bruce,Male,English,From The Town Of Bruis In France,#Surname
Bryan,bryan,Male,English,High|Noble,#Surname
Bryant,bryant,Male,Irish,Son Of Brian,#Surname
Bryson,bryson,Male,English,Son Of Brice,#Surname
Buck,buck,Male,English,Deer|Cowboy,#Surname
Buckley,buckley,Male,English,From The Goat Clearing,#Surname
Burgess,burgess,Male,English,Town Citizen,#Surname
Burke,burke,Male,English,From The Fortress,#Surname
Burnett,burnett,Neutral,English,Brown-haired,#Surname
Burns,burns,Neutral,English,Lives By The Stream,#Surname
Burrell,burrell,Female,English,Person From Burrill|Yorkshire UK,#Surname
Burrhus,burrhus,Male,English,Lives Near Or In A Bower House,#Science|#Surname
Burroughs,burroughs,Neutral,English,Lives Near Or In A Bower House,#Surname
Burton,burton,Male,English,Town Of The Fortress,#Celebrity|#Surname
Bush,bush,Neutral,English,Lives Near The Bush Or Thicket,#Surname
Butler,butler,Male,English,The Chief Manservant Of A Home,#Surname
Byram,byram,Male,English,From The Barns,#Surname
Byrd,byrd,Male,English,Like A Bird,#Surname
Byrne,byrne,Male,English,Son Of Brian,#Surname
Cabrera,cabrera,Neutral,Spanish,Place Of Goats,#Surname
Cade,cade,Neutral,English,Stout|Sturdy,#Surname
Cagney,cagney,Neutral,Irish,Descendant Of The Advocate,#Celebrity|#Surname
Cain,cain,Male,Hebrew,Acquired,#Biblical|#Surname
Calderon,calderon,Neutral,Spanish,Sells Vessels/Cauldrons,#Occupational|#Surname
Caldwell,caldwell,Neutral,English,By The Cold Stream,#Place|#Surname
Caley,caley,Neutral,English,From The Jackdaw Clearing,#Place|#Science|#Surname
Calhoun,calhoun,Male,Scottish,From The Nook/Corner,#Place|#Politician|#Surname
Callahan,callahan,Male,Irish,Little Bright-headed One/Devotee Of The Church,#Sports|#Surname
Callistus,callistus,Male,Latin,Very Beautiful,#Surname
Calloway,calloway,Neutral,French,Place Of Stones Or Pebbles,#Brand|#Celebrity|#Place|#Surname
Camacho,camacho,Neutral,Spanish,Twisted|Disfigured,#Surname
Camber,camber,Neutral,English,Originally An English Surname Indicating A Family From Cambria (Wales),#Surname
Cameron,cameron,Neutral,Scottish,Bent Nose,#Celebrity|#Politician|#Surname
Campbell,campbell,Neutral,Scottish,Beautiful Field,#Brand|#Celebrity|#Place|#Surname
Campos,campos,Female,Spanish,From The Countryside,#Surname
Cannan,cannan,Neutral,English,Wolf Cub Or Son Of Cain,#Literary|#Science|#Surname
Cannon,cannon,Male,English,Clergyman,#Celebrity|#Surname
Canon,canon,Male,English,Clergyman,#Brand|#Musical|#Surname
Cantu,cantu,Neutral,Portuguese,Singer Or Cantor,#Surname
Capulet,capulet,Female,Italian,Determined|Aggressive,#Literary|#Surname
Cardenas,cardenas,Neutral,Spanish,From The Land Of Thorns,#Surname
Carey,carey,Neutral,Irish,From The Fort,#Celebrity|#Surname
Carillo,carillo,Neutral,Spanish,Cart/Wagon Maker,#Occupational|#Surname
Carlen,carlen,Neutral,English,Descendant Of Charles,#Sports|#Surname
Carlin,carlin,Neutral,Irish,Little Champion/Descendant Of Charles,#Celebrity|#Place|#Surname
Carlisle,carlisle,Male,Scottish,From The City Of Luguvalium,#Literary|#Surname
Carlson,carlson,Male,English,Son Of Carl,#Surname
Carman,carman,Neutral,English,Man,#Celebrity|#Surname
Carney,carney,Female,Native American - Crow,Old Woman Or Carnival,#Celebrity|#Politician|#Surname
Carpenter,carpenter,Neutral,English,Craftsman,#Celebrity|#Surname
Carr,carr,Male,Irish,Spear Or Wet Ground,#Surname
Carrigan,carrigan,Neutral,Irish,Pointed|Spear,#Place|#Sports|#Surname
Carrington,carrington,Neutral,English,Town Of The Marsh,#Celebrity|#Place|#Surname
Carson,carson,Neutral,English,Son Of Carr,#Place|#Politician|#Surname
Carter,carter,Neutral,English,Driver Of A Cart,#Celebrity|#Occupational|#Politician|#Surname|#Water
Cartier,cartier,Neutral,French,Driver Of A Cart,#Brand|#Surname|#Water
Caruso,caruso,Neutral,Italian,Young Boy,#Musical|#Surname
Carver,carver,Male,English,Wood Carver,#Occupational|#Science|#Surname
Case,case,Neutral,English,Case-Maker,#Celebrity|#Surname
Casey,casey,Neutral,Irish,Vigilant In War,#Celebrity|#Surname
Cash,cash,Male,English,Maker Of Chests,#Celebrity|#Surname
Cason,cason,Male,American,Combination Of Case And Jason,#Sports|#Surname
Cassidy,cassidy,Neutral,Irish,Curly Haired,#Celebrity|#Surname
Castañeda,castaneda,Neutral,Spanish,Chestnut,#Surname
Castillo,castillo,Neutral,Spanish,Lives In Or Works In The Castle,#Surname
Castrello,castrello,Male,Spanish,Little Fortress,#Surname
Castro,castro,Neutral,Spanish,Castle,#Politician|#Surname
Causer,causer,Neutral,English,One Who Makes Leggings,#Surname
Cavalier,cavalier,Male,French,Knight|Horseman,#Surname
Cavalli,cavalli,Neutral,Italian,Horses,#Surname
Cervantes,cervantes,Neutral,Spanish,Servants Or Ladies' Man,#Surname
Chaia,chaia,Female,Hebrew,Life,#Surname
Chainey,chainey,Neutral,English,Oak Grove,#Nature|#Politician|#Surname
Chambers,chambers,Neutral,English,Chamber Maid/Servant,#Occupational|#Surname
Chan,chan,Female,Chinese,Snow,#Celebrity|#Nature|#Surname
Chandlee,chandlee,Neutral,American,Unknown,#Surname
Chandler,chandler,Neutral,English,Candle Maker,#FictionalCharacter|#Literary|#Occupational|#Place|#Surname
Channer,channer,Neutral,English,Wise,#Literary|#Surname
Channon,channon,Neutral,English,Clergyman,#Surname
Chantry,chantry,Neutral,English,Singing Of The Mass,#Musical|#Surname
Chao,chao,Neutral,Chinese,Surpassing,#Politician|#Surname
Chapin,chapin,Neutral,French,Shoemaker,#Musical|#Surname
Chapman,chapman,Neutral,English,Merchant|Tradesperson,#Surname
Charles,charles,Male,English,Free Man,#Royal|#Surname
Charleston,charleston,Neutral,English,Town Of King Charles,#Place|#Surname
Chase,chase,Male,English,Hunter,#Occupational|#Sports|#Surname
Chaucer,chaucer,Neutral,French,Trouser Maker,#Literary|#Occupational|#Surname
Chavez,chavez,Male,Spanish,Keys,#Politician|#Surname
Chen,chen,Neutral,Chinese,Dawn|Morning,#Surname
Chevis,chevis,Neutral,French,Chub Fish,#Sports|#Surname
Cho,cho,Female,Japanese,Butterfly,#Surname
Choi,choi,Neutral,Korean,Overseer Of The Mountain,#Surname
Chou,chou,Female,Japanese,Bultterfly,#Celebrity|#Surname
Christian,christian,Neutral,English,Follower Of Christ,#Celebrity|#Surname
Chung,chung,Male,Vietnamese,Common,#Surname
Chuong,chuong,Male,Vietnamese,Chapter,#Politician|#Surname
Churchill,churchill,Male,English,By The Church On The Hill,#Politician|#Surname
Cisneros,cisneros,Neutral,Spanish,Place Of Swans,#Surname
Clancy,clancy,Male,Irish,Red Warrior,#Surname
Clark,clark,Male,English,Clerk,#Celebrity|#Surname
Clay,clay,Male,English,Clay Worker,#Surname
Clayton,clayton,Male,English,From The Town On Clay Land,#Place|#Surname
Clemens,clemens,Male,Latin,Mercy,#Sports|#Surname
Cline,cline,Neutral,German,Little One,#Surname
Clinton,clinton,Male,English,Town On A Hill,#Politician|#Surname
Cobb,cobb,Male,English,Lump,#Surname
Cochran,cochran,Neutral,Scottish,Lives In Or Near Cochrane|Scotland,#Surname
Cody,cody,Male,English,Helpful,#Celebrity|#Place|#Surname
Coe,coe,Neutral,English,Jackdaw Bird,#Surname
Cohen,cohen,Male,Hebrew,Priest,#Biblical|#Celebrity|#Politician|#Surname
Cole,cole,Male,English,Victory Of The People,#Celebrity|#Surname
Coleman,coleman,Male,English,Dove/Charcoal Burner,#Brand|#Occupational|#Surname
Collier,collier,Male,English,Coal Miner Or Dealer,#Surname
Collins,collins,Neutral,English,Family Of Coilean,#Surname
Colón,colon,Neutral,Spanish,Dove,#Surname
Colter,colter,Neutral,English,To Look After Horses,#Occupational|#Surname
Coltrane,coltrane,Neutral,English,Train Of Coal,#Surname
Columbus,columbus,Male,Latin,Dove,#Place|#Surname
Combs,combs,Neutral,English,Lives Near A Small Valley,#Surname
Comiskey,comiskey,Neutral,Irish,Son Of The Powerful One,#Surname
Confucius,confucius,Neutral,Chinese,Opening|Master,#Celebrity|#Surname
Conley,conley,Male,Irish,Great Chief,#Surname
Conner,conner,Male,Irish,Descendent Of Hound|Desire,#Surname
Connery,connery,Neutral,Irish,Unknown,#Celebrity|#Surname
Conrad,conrad,Male,English,Bold Counsel,#Celebrity|#Literary|#Surname
Conroy,conroy,Male,English,Detachment Of Troops,#Literary|#Surname
Constantine,constantine,Male,Latin,Constant|Loyal,#Celebrity|#Place|#Surname
Contreras,contreras,Neutral,Spanish,Opposite|Contrary,#Place|#Surname
Conway,conway,Male,Irish,Head Smasher Or Yellow Hound,#Place|#Surname
Conyers,conyers,Male,American,From Coignieres In France,#Place|#Surname
Cook,cook,Neutral,English,Cook|Chef,#Surname
Cooper,cooper,Neutral,English,Barrel Maker,#Occupational|#Surname
Copeland,copeland,Neutral,English,Bought Land,#Surname
Corbett,corbett,Male,English,Raven,#Place|#Politician|#Surname
Corbin,corbin,Neutral,English,Raven,#Celebrity|#Surname
Corby,corby,Neutral,English,From Corc's Farm,#Place|#Surname
Cordova,cordova,Neutral,Spanish,Unknown,#Surname
Corey,corey,Neutral,Irish,Hollow,#Celebrity|#Politician|#Surname
Corin,corin,Neutral,French,Spear,#Politician|#Surname
Coriolanus,coriolanus,Male,Latin,Victorious In Corioli,#Literary|#Politician|#Surname
Corliss,corliss,Neutral,English,Happy|Free From Care,#Sports|#Surname
Cornell,cornell,Male,English,From Cornhill|Cornwell Or Cornelius,#Surname
Corona,corona,Female,Spanish,Crown,#Brand|#Nature|#Surname
Corrigan,corrigan,Neutral,Irish,Pointed|Spear,#Surname
Cortéz,cortez,Male,Spanish,Courteous|Well-Mannered,#Place|#Surname
Coyne,coyne,Male,French,Modest,#Science|#Surname
Craig,craig,Male,Scottish,From The Crag,#Surname
Crane,crane,Neutral,English,Long-necked Bird,#Surname
Crawford,crawford,Male,English,From The Crow Ford,#Celebrity|#Place|#Surname
Crayton,crayton,Male,American,Town Near Rocks,#Place|#Sports|#Surname
Crisson,crisson,Neutral,English,Christ-Bearer,#Surname
Cristobal,cristobal,Male,Spanish,Christ-Bearer,#Place|#Sports|#Surname
Cristofer,cristofer,Male,Spanish,Christ-bearer,#Celebrity|#Surname
Crosby,crosby,Neutral,English,Settlement By The Cross,#Celebrity|#Surname
Cross,cross,Neutral,English,Lives Near A Crossing,#Occupational|#Surname
Cruz,cruz,Male,Spanish,The Cross Of Christ,#Surname
Cuevas,cuevas,Neutral,Spanish,Caves,#Surname
Cullen,cullen,Male,Scottish,Back Of A River,#Literary|#Surname|#Water
Cunningham,cunningham,Male,Irish,Descendant Of The Chief,#Surname
Curran,curran,Male,Irish,Descendant Of The Spearman,#Surname
Currer,currer,Neutral,English,Messenger Or Leather Tanner,#Surname
Currier,currier,Neutral,French,Leather Dresser,#Occupational|#Surname
Curry,curry,Male,Irish,From The Wet Plain,#Nature|#Surname
Curtis,curtis,Male,Latin,Courteous|Courtly,#Surname
Cuthbert,cuthbert,Male,English,Brilliant,#Celebrity|#Place|#Surname
Cutler,cutler,Male,English,Knife Maker,#Sports|#Surname
Cuyler,cuyler,Male,Dutch,Victory Of The People,#Place|#Sports|#Surname
Cyprien,cyprien,Male,French,Person From Cyprus,#Place|#Surname
Cyrus,cyrus,Male,Persian,Heir To The Throne,#Biblical|#Celebrity|#Surname
Dabney,dabney,Neutral,English,From The City Of Aubigny|France,#Place|#Surname
Dahl,dahl,Neutral,Scandinavian,Valley,#Literary|#Nature|#Surname
Daker,daker,Male,English,From Castle|South|West Acre,#Celebrity|#Surname
